filename,count,bit
out-0.0000005-0.2--029.3,25165760,1
out-0.0000005-0.2--029.4,24,0
out-0.0000005-0.2--029.4,25165760,1
out-0.0000005-0.2--029.5,24,0
out-0.0000005-0.2--029.5,25165760,1
out-0.0000005-0.2--029.6,24,0
out-0.0000005-0.2--029.6,25165760,1
out-0.0000005-0.2--029.7,24,0
out-0.0000005-0.2--029.7,25165760,1
out-0.0000005-0.2--029.8,24,0
out-0.0000005-0.2--029.8,25165760,1
out-0.0000005-0.2--029.9,24,0
out-0.0000005-0.2--029.9,25165760,1
out-0.0000005-0.2--030.0,24,0
out-0.0000005-0.2--030.0,25165760,1
out-0.0000005-0.2--030.1,24,0
out-0.0000005-0.2--030.1,25165760,1
out-0.0000005-0.2--030.2,24,0
out-0.0000005-0.2--030.2,25165760,1
out-0.0000005-0.2--030.3,24,0
out-0.0000005-0.2--030.3,25165760,1
out-0.0000005-0.2--030.4,24,0
out-0.0000005-0.2--030.4,25165760,1
out-0.0000005-0.2--030.5,24,0
out-0.0000005-0.2--030.5,25165760,1
out-0.0000005-0.2--030.6,24,0
out-0.0000005-0.2--030.6,25165760,1
out-0.0000005-0.2--030.7,24,0
out-0.0000005-0.2--030.7,25165760,1
out-0.0000005-0.2--030.8,24,0
out-0.0000005-0.2--030.8,25165760,1
out-0.0000005-0.2--030.9,24,0
out-0.0000005-0.2--030.9,25165760,1
out-0.0000005-0.2--031.0,24,0
out-0.0000005-0.2--031.0,25165760,1
out-0.0000005-0.2--031.1,24,0
out-0.0000005-0.2--031.1,25165760,1
out-0.0000005-0.2--031.2,24,0
out-0.0000005-0.2--031.2,25165760,1
out-0.0000005-0.2--031.3,24,0
out-0.0000005-0.2--031.3,25165760,1
out-0.0000005-0.2--031.4,24,0
out-0.0000005-0.2--031.4,25165760,1
out-0.0000005-0.2--031.5,24,0
out-0.0000005-0.2--031.5,25165760,1
out-0.0000005-0.2--031.6,24,0
out-0.0000005-0.2--031.6,25165760,1
out-0.0000005-0.2--031.7,24,0
out-0.0000005-0.2--031.7,25165760,1
out-0.0000005-0.2--031.8,24,0
out-0.0000005-0.2--031.8,25165760,1
out-0.0000005-0.2--031.9,24,0
out-0.0000005-0.2--031.9,25165760,1
out-0.0000005-0.2--032.0,24,0
out-0.0000005-0.2--032.0,25165760,1
out-0.0000005-0.2--032.1,24,0
out-0.0000005-0.2--032.1,25165760,1
out-0.0000005-0.2--032.2,24,0
out-0.0000005-0.2--032.2,25165760,1
out-0.0000005-0.2--032.3,24,0
out-0.0000005-0.2--032.3,25165760,1
out-0.0000005-0.2--032.4,24,0
out-0.0000005-0.2--032.4,25165760,1
out-0.0000005-0.2--032.5,24,0
out-0.0000005-0.2--032.5,25165760,1
out-0.0000005-0.2--032.6,24,0
out-0.0000005-0.2--032.6,25165760,1
out-0.0000005-0.2--032.7,24,0
