filename,count,bit
out-046.9,25165754,1
out-047.0,30,0
out-047.0,25165754,1
out-047.1,30,0
out-047.1,25165754,1
out-047.2,30,0
out-047.2,25165754,1
out-047.3,30,0
out-047.3,25165754,1
out-047.4,30,0
out-047.4,25165754,1
out-047.5,30,0
out-047.5,25165754,1
out-047.6,30,0
out-047.6,25165754,1
out-047.7,30,0
out-047.7,25165754,1
out-047.8,30,0
out-047.8,25165754,1
out-047.9,30,0
out-047.9,25165754,1
out-048.1,30,0
out-048.1,25165754,1
out-048.0,30,0
out-048.0,25165754,1
out-048.2,30,0
out-048.2,25165754,1
out-048.3,30,0
out-048.3,25165754,1
out-048.4,30,0
out-048.4,25165754,1
out-048.5,30,0
out-048.5,25165754,1
out-048.6,30,0
out-048.6,25165754,1
out-048.7,30,0
out-048.7,25165754,1
out-048.8,30,0
out-048.8,25165754,1
out-048.9,30,0
out-048.9,25165754,1
out-049.0,36,0
out-049.0,25165748,1
out-049.1,30,0
out-049.1,25165754,1
out-049.3,34,0
out-049.3,25165750,1
out-049.2,36,0
out-049.2,25165748,1
out-049.4,30,0
out-049.4,25165754,1
out-049.5,30,0
out-049.5,25165754,1
out-049.6,30,0
out-049.6,25165754,1
out-049.7,30,0
out-049.7,25165754,1
out-049.8,30,0
out-049.8,25165754,1
out-049.9,32,0
out-049.9,25165752,1
out-050.0,30,0
out-050.0,25165754,1
out-050.1,33,0
out-050.1,25165751,1
out-050.2,30,0
out-050.2,25165754,1
out-050.3,30,0
out-050.3,25165754,1
out-050.4,34,0
out-050.4,25165750,1
out-050.5,30,0
out-050.5,25165754,1
out-050.6,30,0
out-050.6,25165754,1
out-050.7,30,0
out-050.7,25165754,1
out-050.8,30,0
out-050.8,25165754,1
out-050.9,30,0
out-050.9,25165754,1
out-051.0,30,0
out-051.0,25165754,1
out-051.2,37,0
out-051.2,25165747,1
out-051.1,30,0
out-051.1,25165754,1
out-051.3,30,0
out-051.3,25165754,1
out-051.4,30,0
out-051.4,25165754,1
out-051.5,32,0
